1,190,3.150,START
1,966,16.100,END
2,967,16.100,START
2,1557,25.950,END
3,1558,25.950,START
3,2024,33.733,END
4,2025,33.733,START
4,2935,48.917,END
5,2936,48.917,START
5,3542,59.033,END
1,9551,159.167,START
1,10219,170.317,END
1,17855,297.567,START
1,18026,300.433,END
2,18027,300.433,START
2,19876,331.267,END
3,19877,331.267,START
3,20368,339.467,END
1,23315,388.567,START
1,25174,419.567,END
1,25403,423.367,START
1,25599,426.650,END
1,27116,451.917,START
1,27617,460.283,END
1,36746,612.417,START
1,37239,620.650,END
2,37240,620.650,START
2,42071,701.183,END
3,42072,701.183,START
3,42690,711.500,END
1,64077,1067.933,START
1,64405,1073.417,END
1,73074,1217.883,START
1,73267,1221.117,END
2,73268,1221.117,START
2,73369,1222.817,END
3,73370,1222.817,START
3,77172,1286.200,END
1,81009,1350.133,START
1,81786,1363.100,END
2,81787,1363.100,START
2,82377,1372.950,END
3,82378,1372.950,START
3,82843,1380.717,END
4,82844,1380.717,START
4,83756,1395.933,END
5,83757,1395.933,START
5,84352,1405.867,END
1,86618,1443.617,START
1,87092,1451.533,END
1,90415,1506.900,START
1,92086,1534.767,END
2,92087,1534.767,START
2,94264,1571.067,END
1,95610,1593.483,START
1,96074,1601.233,END
2,96075,1601.233,START
2,97338,1622.300,END
1,190,3.150,START
1,190,3.150,START
1,190,3.150,START
1,193,3.200,START
1,190,3.150,START
1,966,16.100,END
2,967,16.100,START
2,1557,25.950,END
3,1558,25.950,START
3,2024,33.733,END
4,2025,33.733,START
4,2935,48.917,END
5,2936,48.917,START
5,3551,59.183,END
1,122,2.038,START
1,421,7.038,END
2,422,7.038,START
2,720,12.021,END
3,721,12.021,START
3,1019,17.004,END
4,1020,17.004,START
4,1320,22.021,END
5,1321,22.021,START
1,122,2.038,START
1,122,2.038,START
1,421,7.038,END
2,422,7.038,START
2,720,12.021,END
3,721,12.021,START
3,1020,17.021,END
4,1021,17.021,START
4,1320,22.021,END
5,1321,22.021,START
5,60,2.021,END
1,61,2.021,START
1,210,7.021,END
2,211,7.021,START
2,361,12.054,END
3,362,12.054,START
3,511,17.054,END
1,512,17.054,START
1,550,18.354,END
2,551,18.354,START
2,660,22.021,END
1,661,22.021,START
1,959,31.988,END
2,960,31.988,START
2,1113,37.121,END
1,1114,37.121,START
1,1258,41.954,END
2,1259,41.954,START
2,1384,46.154,END
1,1385,46.154,START
1,1438,47.954,END
2,1439,47.954,START
2,1560,52.021,END
1,1561,52.021,START
1,210,7.021,END
2,211,7.021,START
2,373,12.454,END
1,374,12.454,START
1,510,17.021,END
2,511,17.021,START
2,659,21.988,END
1,660,21.988,START
1,1261,42.054,END
2,1262,42.054,START
2,1416,47.221,END
3,1417,47.221,START
3,1561,52.054,END
2,1562,52.054,START
2,1709,56.988,END
3,1710,56.988,START
3,1860,62.021,END
1,1861,62.021,START
1,2461,82.054,END
2,2462,82.054,START
2,42,1.421,END
1,43,1.421,START
1,122,2.038,START
1,421,7.038,END
2,422,7.038,START
2,721,12.038,END
3,722,12.038,START
3,1020,17.021,END
4,1021,17.021,START
4,1320,22.021,END
5,1321,22.021,START
5,60,2.021,END
1,61,2.021,START
1,209,6.988,END
2,210,6.988,START
2,361,12.054,END
3,362,12.054,START
3,511,17.054,END
1,512,17.054,START
1,550,18.354,END
2,551,18.354,START
2,660,22.021,END
1,661,22.021,START
1,959,31.988,END
2,960,31.988,START
2,1113,37.121,END
1,1114,37.121,START
1,1259,41.988,END
2,1260,41.988,START
2,1384,46.154,END
1,1385,46.154,START
1,1439,47.988,END
2,1440,47.988,START
2,1561,52.054,END
1,1562,52.054,START
1,61,2.021,START
1,82,2.721,START
1,209,6.988,END
2,210,6.988,START
2,364,12.154,END
1,365,12.154,START
1,509,16.988,END
2,510,16.988,START
2,659,21.988,END
1,660,21.988,START
1,123,2.054,START
1,421,7.038,END
2,422,7.038,START
2,721,12.038,END
3,722,12.038,START
3,1019,17.004,END
4,1020,17.004,START
4,1321,22.038,END
5,1322,22.038,START
5,60,2.021,END
1,61,2.021,START
1,209,6.988,END
2,210,6.988,START
2,361,12.054,END
3,362,12.054,START
3,511,17.054,END
1,512,17.054,START
1,549,18.321,END
2,550,18.321,START
2,659,21.988,END
